,Top Rotten Tomatos Ratings
127,"('Dumb Money', '84%')"
128,"('Rustin', '84%')"
129,"('Thanksgiving', '84%')"
130,"('Shortcomings', '85%')"
131,"('Jules', '85%')"
132,"('Guardians of the Galaxy Vol. 3', '82%')"
133,"('Priscilla', '84%')"
134,"('Tetris', '81%')"
135,"('El Conde', '82%')"
136,"('No One Will Save You', '81%')"
137,"('Linoleum', '82%')"
138,"('The Persian Version', '83%')"
139,"('Rotting in the Sun', '82%')"
140,"('Monica', '84%')"
141,"('Maestro', '79%')"
142,"('Leo', '82%')"
143,"('Perpetrator', '82%')"
144,"('Saw X', '80%')"
145,"('Biosphere', '80%')"
146,"('Quiz Lady', '81%')"
147,"('Extraction 2', '79%')"
148,"('Chicken Run: Dawn of the Nugget', '81%')"
149,"('Enys Men', '79%')"
150,"('Origin', '83%')"
151,"('Between Two Worlds', '79%')"
152,"('Scarlet', '79%')"
153,"('Blue Beetle', '78%')"
154,"('Plane', '78%')"
155,"('Chevalier', '77%')"
156,"('The Lost King', '77%')"
157,"('Scream VI', '76%')"
158,"('A Haunting in Venice', '76%')"
159,"('Red, White & Royal Blue', '76%')"
160,"('The Lesson', '76%')"
161,"('Sitting in Bars with Cake', '75%')"
162,"('Asteroid City', '75%')"
163,"('Leave the World Behind', '75%')"
164,"('Strange Way of Life', '75%')"
165,"('Moving On', '75%')"
166,"('The Offering', '74%')"
167,"('The Inventor', '77%')"
168,"('Elemental', '73%')"
169,"('Medusa Deluxe', '72%')"
